"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"119",NA,NA,NA,NA,3,2,"Toasted Coconut and Lime RotisOatcakes",NA,10,"IN","Sarah-Jane"
"120","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,3,"Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart",9,"IN","Brendan"
"121","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",3,"IN","Cathryn"
"122","Danny Bryden",45,"Intensive care consultant","Sheffield",3,3,"Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart",2,"IN","Danny"
"123","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,3,"Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart",1,"STAR BAKER","James"
"124","John Whaite",22,"Law student","Wigan",3,3,"Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart",6,"IN","John"
"125","Manisha Parmar",27,"Nursery nurse","Leicester",3,3,"Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart",10,"IN","Manisha"
"126","Ryan Chong",38,"Photographer","Bristol",3,3,"Spiced Pear Tarte Tatin",NA,5,"IN","Ryan"
"127","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,3,"Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart",7,"IN","Stuart"
"128","Victoria Chester",50,"CEO of the charity Plantlife","Somerset",3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust",4,"OUT","Victoria"
"129",NA,NA,NA,NA,3,3,"Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam",8,"IN","Sarah-Jane"
"130","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,4,"Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise",1,"STAR BAKER","Brendan"
"131","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,4,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",3,"IN","Cathryn"
"132","Danny Bryden",45,"Intensive care consultant","Sheffield",3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",2,"IN","Danny"
